scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-C,random_forest_poisson__multi_step__raw__two_stage,cv_dy_zcv,10,-7.275960911036632,7.724868266938947,10.326947174568934,-8.55684927010718,11.546186460675528
S-C,random_forest_poisson__multi_step__raw__two_stage,cv_global,10,-8.848518585902521,5.666309823666203,10.353387922852155,-10.13859357166298,11.524394990496235
S-C,random_forest_poisson__multi_step__raw__two_stage,cv_type,10,-6.726490864136916,5.443322341952549,8.480121558791312,-8.055867883831459,9.558059166069063
S-C,random_forest_poisson__multi_step__raw__two_stage,cv_type_bs1,10,-7.169887486599403,5.762596458331132,9.016321462653611,-8.476212427410452,10.218685643099782
S-C,random_forest_poisson__multi_step__raw__two_stage,duan,10,-6.499319720734415,7.500901142624997,9.637340036992414,-7.75093373118723,11.160869762183603
S-C,random_forest_poisson__multi_step__raw__two_stage,insample_global,10,-6.2083270162754065,7.106586495825363,9.164962564102362,-7.476541659590043,10.639238315569079
S-C,random_forest_poisson__multi_step__raw__two_stage,iso_global,10,-11.961264235825784,5.963283071874702,13.231648144317534,-13.233767617769985,14.267745893147884
S-C,random_forest_poisson__multi_step__raw__two_stage,none,10,-6.499319720734415,7.500901142624997,9.637340036992414,-7.75093373118723,11.160869762183603
S-C,random_forest_poisson__multi_step__raw__two_stage,paper,10,-6.499319720734415,7.500901142624997,9.637340036992414,-7.75093373118723,11.160869762183603
S-C,random_forest_poisson__multi_step__raw__two_stage,shift_dy_bs1,10,-8.772357344596822,5.982867810793975,10.448420449933712,-10.039880326445301,11.740176938800007
S-C,random_forest_poisson__multi_step__raw__two_stage,shift_global,10,-8.847448793420549,5.6664880832677795,10.352561452618039,-10.13751961307302,11.52367332342003
