scenario,seed,dy,n,alpha_hat,se,alpha_0,se_alpha_0,n_pool,cover
S-A,seed02,3,15888,1.0568722393237993,0.04370501901122118,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed02,4,13910,0.9541103498414872,0.06131994085215626,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed02,5,11931,0.8174371027018815,0.055011265296358976,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed02,6,9935,0.781897929419392,0.05539478689850357,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed02,7,8026,0.6619845623688198,0.06316378777797177,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed02,8,6015,0.558527060899942,0.08196959333681113,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed02,9,3971,0.6625461639359909,0.14110443600213954,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed02,10,1968,0.444621803677036,0.08622204411691871,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed03,1,18932,1.5167701839704744,0.03267180610399192,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed03,2,17578,1.2463227535799308,0.04424800333568901,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed03,3,15740,0.9497731766054585,0.0441704897545076,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed03,4,13848,0.848344236188445,0.04782733459703628,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed03,5,11832,0.9072128115246489,0.078360677827519,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed03,6,9913,0.8308817358267023,0.09867365196512325,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed03,7,7925,0.5861166484196961,0.058477395033011796,0.7294931050299486,0.009739942672675727,79655,0.0
S-A,seed03,8,5928,0.6451066896499024,0.08303777151745484,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed03,9,3915,0.9013045678656767,0.4236161977731589,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed03,10,1926,0.44180226468768297,0.10223202282426835,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed04,1,19126,1.5005463881467178,0.030137535520034845,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed04,2,17718,1.1924531860174676,0.03512479633735061,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed04,3,15845,1.0522253772986607,0.04344155909208354,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed04,4,13876,0.9205670178122735,0.048483559626011655,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed04,5,11823,0.8382773780355953,0.04551015951487281,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed04,6,9878,0.8329055671236021,0.06587550851049154,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed04,7,7914,0.620569312799012,0.056974099792426444,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed04,8,5996,0.8389266952231065,0.1129919498753886,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed04,9,4081,0.8417397081945414,0.15463592563916304,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed04,10,2094,0.585418322249576,0.13135539648463854,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed05,1,19369,1.5483556103469673,0.03324060420408441,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed05,2,18026,1.2855925565314767,0.04486023664422677,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed05,3,16144,1.0408613461077738,0.04824398464285412,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed05,4,14174,0.9248888360026014,0.04637048815821767,0.9140971752021998,0.006501326399142036,139514,1.0
