scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-B,random_forest_poisson__single_model__raw__two_stage,duan,10,-8.78988736697833,10.134894485315025,13.027148480376939,-9.144290067877884,12.751876163922159
S-B,random_forest_poisson__single_model__raw__two_stage,insample_global,10,-8.122974277192567,9.639574793111223,12.231597323355558,-8.469778065060671,11.992335051337717
S-B,random_forest_poisson__single_model__raw__two_stage,iso_global,10,-8.867562344380493,9.2597592687252,12.48208674359952,-9.200847293593474,12.343756877079668
S-B,random_forest_poisson__single_model__raw__two_stage,none,10,-8.78988736697833,10.134894485315025,13.027148480376939,-9.144290067877884,12.751876163922159
S-B,random_forest_poisson__single_model__raw__two_stage,paper,10,-8.78988736697833,10.134894485315025,13.027148480376939,-9.144290067877884,12.751876163922159
S-B,random_forest_poisson__single_model__raw__two_stage,shift_dy_bs1,10,-14.62000148175017,7.7896399255566955,16.38154707221578,-14.895234158470819,16.596487119770416
S-B,random_forest_poisson__single_model__raw__two_stage,shift_global,10,-8.224088654283413,9.622963744966222,12.28726667354274,-8.573517007578477,12.029924248251413
S-C,chain_ladder_rbns_cohort,none,10,-0.24671796323293127,8.290864948575951,7.869273612561365,-1.7505900433627049,6.966322537804077
S-C,chain_ladder_total,none,10,-0.8955501125455327,7.663639459242126,7.325315200672799,,
S-C,random_forest__per_dy__log1p__two_stage,cv_dy,10,-43.56011926646041,4.287354029641173,43.74959719387355,-44.44990884924113,44.52458442510043
S-C,random_forest__per_dy__log1p__two_stage,cv_dy_bs1,10,-45.251724560455884,3.990801560869385,45.40982738443056,-46.086055592895136,46.17204439484351
S-C,random_forest__per_dy__log1p__two_stage,cv_dy_bsmean,10,-42.896144634736245,3.8639296540260553,43.05248171311784,-43.754747278369884,43.843349760232904
S-C,random_forest__per_dy__log1p__two_stage,cv_dy_heur,10,-44.66893776497515,4.181940770030947,44.844774130269236,-45.490476770365056,45.61498075032122
S-C,random_forest__per_dy__log1p__two_stage,cv_dy_zcv,10,-44.05487126976321,4.171374059005525,44.23225076775472,-44.93616877775969,45.00182638574065
S-C,random_forest__per_dy__log1p__two_stage,cv_global,10,-43.56011926646041,4.287354029641173,43.74959719387355,-44.44990884924113,44.52458442510043
S-C,random_forest__per_dy__log1p__two_stage,cv_type,10,-43.81870316377735,4.38442920769255,44.01567498613161,-44.70771167235788,44.7866873630091
S-C,random_forest__per_dy__log1p__two_stage,cv_type_bs1,10,-46.92941631422904,3.8605848571603176,47.072112970310016,-47.74508147227617,47.81472159598686
