scenario,dy,family,param,predictor,alpha_P,alpha_Q,discrepancy,cov_rho_r,identity_residual,E_Ptilde_rho,chi,sd_r,chi_bound,tv,range_r,tv_bound,ratio_chi_bound,ratio_tv_bound,rel_err_P_factor,r_min,r_max,support_P,support_Q
S-B,3,generator lower triangle,,f2,4.530248517922035,3.977824799536967,-0.5524237183850684,-0.5524237183850682,-2.220446049250313e-16,0.9999999999999999,0.4368486245401213,14.96801117047079,6.5387550919213355,0.19574918662401436,271.4422812894422,53.13460577777522,11.83648506446546,96.18451201390597,0.1388758294355681,2.2385469629047114,273.6808282523469,20,16
S-A,3,type-mix shift eps,0.25,f2,5.080395842583299,4.508507686867021,-0.5718881557162785,-0.5718881557162795,9.992007221626409e-16,0.9999999999999999,0.05132484586844827,16.694033867505283,0.8568187151723641,0.012054806514182798,271.4422812894422,3.272184180712607,1.49822776815375,5.721720493781274,0.12684644131408507,2.2385469629047114,273.6808282523469,20,20
S-A,3,type-mix shift eps,0.5,f2,5.080395842583299,4.190349401354477,-0.8900464412288223,-0.8900464412288227,4.440892098500626e-16,1.0,0.07987837474027586,16.694033867505283,1.3334922931954436,0.018761251707009236,271.4422812894422,5.092596963196028,1.498227768153747,5.721720493781258,0.21240387279903827,2.2385469629047114,273.6808282523469,20,20
S-A,3,type-mix shift eps,1.0,f2,5.080395842583299,3.8473631281897793,-1.23303271439352,-1.23303271439352,0.0,0.9999999999999999,0.11066012363508072,16.694033867505283,1.8473638517463593,0.025991045013084094,271.4422812894422,7.055068551448126,1.4982277681537464,5.721720493781249,0.3204877401249291,2.2385469629047114,273.6808282523469,20,20
S-A,3,type-mix shift eps,2.0,f2,5.080395842583299,3.553082040993294,-1.5273138015900054,-1.5273138015900052,-2.220446049250313e-16,0.9999999999999999,0.13707076230872411,16.694033867505283,2.288263948226607,0.032194183741309376,271.4422812894422,8.738862678992486,1.4982277681537461,5.721720493781252,0.42985604722007253,2.2385469629047114,273.6808282523469,20,20
S-A,3,reporting-delay scale,0.5,f2,5.080395842583299,4.651529143377218,-0.42886669920608167,-0.4288666992060826,9.43689570931383e-16,1.0,0.4224413039642161,16.694033867505283,7.052249435411717,0.19730274370443174,271.4422812894422,53.556306855797075,16.443919400752836,124.87867898099934,0.09219907819274797,2.2385469629047114,273.6808282523469,20,20
S-A,3,reporting-delay scale,1.5,f2,5.080395842583299,5.549671132754545,0.4692752901712458,0.4692752901712446,1.2212453270876722e-15,1.0000000000000002,0.2682778021923865,16.694033867505283,4.478638715699583,0.09685823949966799,271.4422812894422,26.291421491469038,9.543734369788059,56.025582514423235,-0.08455911691803686,2.2385469629047114,273.6808282523469,20,20
S-A,3,reporting-delay scale,2.0,f2,5.080395842583299,5.947775351471584,0.867379508888285,0.8673795088882846,3.3306690738754696e-16,1.0,1.4693388360735338,16.694033867505283,24.529192292252365,0.15123783347738734,271.4422812894422,41.05234253637479,28.27965387802541,47.32915882344434,-0.14583259414356997,2.2385469629047114,273.6808282523469,20,20
S-A,5,generator lower triangle,,f1,0.856988795624219,0.8004799133460517,-0.056508882278167305,-0.056508882278166986,-3.191891195797325e-16,1.0,0.2066130837112316,0.669374345799824,0.13830149774288994,0.0782005039389746,1.8170537238469566,0.1420945168890224,2.44742936273443,2.5145518927370794,0.07059375424169856,0.01386406195859039,1.830917785805547,36,32
S-B,5,generator lower triangle,,f1,0.8764380948796446,0.9914625672239678,0.11502447234432311,0.11502447234432296,1.5265566588595902e-16,1.0000000000000002,0.33893691044349616,0.6793955737995825,0.23027223675261677,0.12350313228792745,1.8170537238469566,0.22441182643054186,2.0019412570161776,1.9509920094114426,-0.1160149421136335,0.01386406195859039,1.830917785805547,36,32
