scenario,dy,design,predictor,n,reps,n_all_zero_Y,alpha_n,alpha_P,V_n,mean_alpha_hat,sd_alpha_hat,coverage_alpha_n,coverage_alpha_n_Vn,coverage_alpha_P,mean_se_plugin,se_Vn,se_over_sd,sd_sqrtn_over_sqrtVn,bias_rel,misses_below,misses_above,mu_Y_folds,m_folds
S-B,3,random,f1,600,2000,0,1.053931675608464,1.053931675608464,32.11436151736786,1.0567133580039776,0.22770573768620453,0.894,0.959,0.894,0.20558595024451573,0.23135240621674927,0.9028580146180967,0.9842376027542663,0.002639338450386389,205,7,2998.91;2998.91;2998.91,2845.45;2845.45;2845.45
S-B,3,random,f2,600,2000,0,4.530248517922035,4.530248517922035,731.6062297349628,4.663836015167248,1.169146591157694,0.918,0.9435,0.918,1.068756166446649,1.104238976048635,0.914133586437918,1.058780405797051,0.029487896020875974,160,4,2998.91;2998.91;2998.91,661.974;661.974;661.974
S-B,3,random,f1,3000,2000,0,1.053931675608464,1.053931675608464,32.11436151736786,1.0527000100524155,0.10256979392363666,0.9185,0.9455,0.9185,0.09810354367846073,0.10346394141175927,0.956456476372556,0.9913578829887785,-0.001168638901888401,144,19,2998.91;2998.91;2998.91,2845.45;2845.45;2845.45
S-B,3,random,f2,3000,2000,0,4.530248517922035,4.530248517922035,731.6062297349628,4.539882132681898,0.48812350988456293,0.9335,0.96,0.9335,0.4786521797958226,0.493830682769902,0.9805964476265848,0.9884430573383423,0.0021265091135179897,125,8,2998.91;2998.91;2998.91,661.974;661.974;661.974
S-B,3,random,f1,15000,2000,0,1.053931675608464,1.053931675608464,32.11436151736786,1.0550056324691615,0.047179190336328065,0.9395,0.939,0.9395,0.045671505083211925,0.046270481243349856,0.9680434267233445,1.0196390672532463,0.0010190004585234804,98,23,2998.91;2998.91;2998.91,2845.45;2845.45;2845.45
S-B,3,random,f2,15000,2000,0,4.530248517922035,4.530248517922035,731.6062297349628,4.5326138089385735,0.2199024343805989,0.9505,0.9555,0.9505,0.21890153282895303,0.220847795209727,0.9954484289613932,0.9957194011005166,0.000522110654013983,78,21,2998.91;2998.91;2998.91,661.974;661.974;661.974
S-B,4,random,f1,600,2000,0,0.959140865501459,0.959140865501459,40.819476609445736,0.9492169531367067,0.25027279378675443,0.8675,0.9655,0.8675,0.22039707657183807,0.2608303299383392,0.8806273875682546,0.959523356988121,-0.010346668275429896,261,4,2268.62;2268.62;2268.62,2365.26;2365.26;2365.26
S-B,4,random,f2,600,2000,0,3.5633711836326905,3.5633711836326905,590.3137985743715,3.6262016944985227,1.0111037685715796,0.896,0.9475,0.896,0.8945855386887324,0.9918953225806068,0.8847613533797264,1.0193653962809284,0.017632322771881283,208,0,2268.62;2268.62;2268.62,636.65;636.65;636.65
S-B,4,random,f1,3000,2000,0,0.959140865501459,0.959140865501459,40.819476609445736,0.9541672676776993,0.11379311133991935,0.92,0.9615,0.92,0.10849974298366657,0.116646869667165,0.953482523731682,0.9755350629177754,-0.005185471709788344,148,12,2268.62;2268.62;2268.62,2365.26;2365.26;2365.26
S-B,4,random,f2,3000,2000,0,3.5633711836326905,3.5633711836326905,590.3137985743715,3.5648285851501407,0.4311728844615694,0.9325,0.959,0.9325,0.41863423735876704,0.44358907357086375,0.9709196761794052,0.9720097048167917,0.00040899514598545576,120,15,2268.62;2268.62;2268.62,636.65;636.65;636.65
