kind,scenario,dy,group,n,empirical,analytic,se,z,quad_rel_err,expected_active,normal_approx_ok
"lower E[Y|c,k,r]",S-A,3.0,Annuity r=1,659,40264.21609705172,44283.80023928706,2773.290215837149,-1.449391816002922,,641.6992455909649,True
"lower P(Y>0|c,k,r)",S-A,3.0,Annuity r=1,659,0.9681335356600911,0.973746958408141,0.006228309176926892,-0.9012755450299589,,641.6992455909649,True
"lower E[Y|c,k,r]",S-A,3.0,Annuity r=2,154,50386.01118767705,42097.26154705224,5456.050251505624,1.5191849888731301,,149.86182299458602,True
"lower P(Y>0|c,k,r)",S-A,3.0,Annuity r=2,154,0.9805194805194806,0.973128720744065,0.01303073629376683,0.5671789842720486,,149.86182299458602,True
"lower P(c,r|k)",S-A,4.0,Material r=1,58559,0.7677726737136905,0.7642272313941062,0.0017541278753405048,2.021199462950268,,,
"lower P(c,r|k)",S-A,4.0,Technical r=1,58559,0.06895609556174115,0.07124033497170676,0.001062962206870799,-2.1489375588338877,,,
"lower P(c,r|k)",S-A,4.0,Technical r=2,58559,5.123038303249714e-05,6.044190553584295e-05,3.212618255023592e-05,-0.28672944533455513,,,
"lower P(c,r|k)",S-A,4.0,Bodily r=1,58559,0.12406291091036391,0.1239822992596109,0.0013618819313798425,0.05919136519516815,,,
"lower P(c,r|k)",S-A,4.0,Bodily r=2,58559,0.015505729264502468,0.015611487675897333,0.0005122814001454998,-0.20644593257695562,,,
"lower P(c,r|k)",S-A,4.0,Bodily r=3,58559,0.0012807595758124286,0.0014743145729881383,0.00015855424492031302,-1.2207493862620173,,,
"lower P(c,r|k)",S-A,4.0,Annuity r=1,58559,0.01641079936474325,0.017284602549257844,0.0005385756984113865,-1.6224333684048735,,,
"lower P(c,r|k)",S-A,4.0,Annuity r=2,58559,0.005037654331528885,0.005007904868442889,0.0002917030865618968,0.10198542441436854,,,
"lower P(c,r|k)",S-A,4.0,Annuity r=3,58559,0.0009221468945849485,0.0010882132420995776,0.00013624599539225428,-1.2188714026898295,,,
lower P(a|k),S-A,4.0,AY 8,58559,0.3388719069656244,0.3384922053710649,0.0019554422446267402,0.19417683933281818,,,
lower P(a|k),S-A,4.0,AY 9,58559,0.33682269164432455,0.3359296385707079,0.0019517958226173105,0.4575545573302004,,,
lower P(a|k),S-A,4.0,AY 10,58559,0.32430540139005104,0.32557815605822726,0.0019364068837213109,-0.6572764633692502,,,
lower E[Y|k],S-A,4.0,all,58559,1798.584104888781,1837.4824029538813,60.742530773604834,-0.6403799375774983,,,
lower E[oracle|k],S-A,4.0,all,58559,1802.1589401067506,1837.4824029538813,33.447389419778716,-1.0560902796868985,,,
lower P(Y>0|k),S-A,4.0,all,58559,0.09136084974128657,0.09130108645962881,0.0011902855225449389,0.05020919815102655,,,
"lower E[Y|c,k,r]",S-A,4.0,Material r=1,44960,19.636571757111895,19.41415310893344,1.0621755640029025,0.20939913863227083,,1159.632574404818,True
"lower P(Y>0|c,k,r)",S-A,4.0,Material r=1,44960,0.026712633451957294,0.025792538431359334,0.0007475833454384313,1.230759120320366,,1159.632574404818,True
"lower E[Y|c,k,r]",S-A,4.0,Technical r=1,4038,27.414493681368874,27.905625771378553,3.8343219288476202,-0.1280883814983383,,182.90281672940824,True
"lower P(Y>0|c,k,r)",S-A,4.0,Technical r=1,4038,0.0470529965329371,0.04529539307984473,0.003272490302504638,0.5370843885303995,,182.90281672940824,True
"lower E[Y|c,k,r]",S-A,4.0,Bodily r=1,7265,5237.423070522203,4801.280392347446,183.13460944929798,2.38154153104253,,2191.900648833309,True
"lower P(Y>0|c,k,r)",S-A,4.0,Bodily r=1,7265,0.3054370268410186,0.3017069027988036,0.005385098958402747,0.6926751153559837,,2191.900648833309,True
"lower E[Y|c,k,r]",S-A,4.0,Bodily r=2,908,7843.469503227341,8567.033893237654,726.7032954333281,-0.9956806231061012,,420.7232738406312,True
"lower P(Y>0|c,k,r)",S-A,4.0,Bodily r=2,908,0.46255506607929514,0.4633516231725011,0.01654845030728218,-0.04813484516163108,,420.7232738406312,True
"lower E[Y|c,k,r]",S-A,4.0,Bodily r=3,75,15061.50899909749,14305.267401708466,3401.988826659498,0.22229396859354097,,49.94476835881381,True
"lower P(Y>0|c,k,r)",S-A,4.0,Bodily r=3,75,0.5866666666666667,0.6659302447841842,0.054463095011314556,-1.4553630876293517,,49.94476835881381,True
"lower E[Y|c,k,r]",S-A,4.0,Annuity r=1,961,44592.74370065423,46455.142672476795,2412.7196110331233,-0.771908581215157,,933.7771173616151,True
"lower P(Y>0|c,k,r)",S-A,4.0,Annuity r=1,961,0.9729448491155047,0.9716723385656765,0.005351845746551972,0.2377704085825123,,933.7771173616151,True
"lower E[Y|c,k,r]",S-A,4.0,Annuity r=2,295,44201.74369804388,44283.80023928706,4145.02370683211,-0.019796398536377793,,287.25535273040157,True
"lower P(Y>0|c,k,r)",S-A,4.0,Annuity r=2,295,0.976271186440678,0.973746958408141,0.009308974965697544,0.2711606854501729,,287.25535273040157,True
"lower E[Y|c,k,r]",S-A,4.0,Annuity r=3,54,39541.174593311276,42097.26154705224,9213.864944293751,-0.2774174539343536,,52.54895092017951,True
"lower P(Y>0|c,k,r)",S-A,4.0,Annuity r=3,54,0.9814814814814815,0.973128720744065,0.02200556057971467,0.3795750036523194,,52.54895092017951,True
"lower P(c,r|k)",S-A,5.0,Material r=1,78566,0.7645928264134613,0.7608545895435305,0.0015218243763665963,2.456418051901626,,,
"lower P(c,r|k)",S-A,5.0,Material r=2,78566,1.272815212687422e-05,2.5907058693555395e-05,1.8158756603499705e-05,-0.7257604060919691,,,
"lower P(c,r|k)",S-A,5.0,Technical r=1,78566,0.06847745844258331,0.07092594139175501,0.0009158205831087175,-2.6735399862497307,,,
"lower P(c,r|k)",S-A,5.0,Technical r=2,78566,5.091260850749688e-05,6.76970628052452e-05,2.935302679754143e-05,-0.5718134083246965,,,
"lower P(c,r|k)",S-A,5.0,Bodily r=1,78566,0.12313214367538121,0.1234351480014036,0.0011735298099936821,-0.25819908743862546,,,
"lower P(c,r|k)",S-A,5.0,Bodily r=2,78566,0.01728483058829519,0.017485415992581577,0.0004676168649872314,-0.4289524593854492,,,
"lower P(c,r|k)",S-A,5.0,Bodily r=3,78566,0.0020365043402998753,0.002201712324309593,0.0001672185073878657,-0.9879766695113208,,,
"lower P(c,r|k)",S-A,5.0,Bodily r=4,78566,0.00016546597764936487,0.00020792487126443198,5.143879002629202e-05,-0.8254255901696946,,,
"lower P(c,r|k)",S-A,5.0,Annuity r=1,78566,0.016877529720235217,0.017208323176404493,0.0004639622975425735,-0.7129748643830784,,,
"lower P(c,r|k)",S-A,5.0,Annuity r=2,78566,0.005664027696459028,0.005609029817907169,0.0002664435055870924,0.2064147836167929,,,
"lower P(c,r|k)",S-A,5.0,Annuity r=3,78566,0.001260087060560548,0.0016251162068834923,0.000143704945012719,-2.5401293343846776,,,
"lower P(c,r|k)",S-A,5.0,Annuity r=4,78566,0.00044548532444059773,0.00035313629606369216,6.703122578700199e-05,1.3777016202919112,,,
lower P(a|k),S-A,5.0,AY 7,78566,0.25465213960237254,0.2533098550850087,0.0015515970013543052,0.8650986797423582,,,
lower P(a|k),S-A,5.0,AY 8,78566,0.25257745080569205,0.25274879388111543,0.0015504598946429493,-0.11051113028812155,,,
lower P(a|k),S-A,5.0,AY 9,78566,0.25105007255046713,0.2508353505056026,0.0015465561341601601,0.13883883043219886,,,
lower P(a|k),S-A,5.0,AY 10,78566,0.2417203370414683,0.24310600052827339,0.001530375657468546,-0.9054400989996987,,,
lower E[Y|k],S-A,5.0,all,78566,1581.7058202628239,1547.5706688598793,51.63274473321452,0.6611144067455692,,,
lower E[oracle|k],S-A,5.0,all,78566,1531.1600398110186,1547.5706688598793,28.50549090687907,-0.5757006291338933,,,
lower P(Y>0|k),S-A,5.0,all,78566,0.0599877809739582,0.06020324129441043,0.0008486128174696022,-0.2538970847679258,,,
"lower E[Y|c,k,r]",S-A,5.0,Material r=1,60071,3.492272219508537,3.422130869404801,0.3013106357896016,0.2327875015759945,,450.67018742473493,True
"lower P(Y>0|c,k,r)",S-A,5.0,Material r=1,60071,0.007491135489670556,0.007502288820914142,0.0003520701585434267,-0.031679285997226914,,450.67018742473493,True
"lower E[Y|c,k,r]",S-A,5.0,Technical r=1,5380,6.67843721460973,6.569617683714621,1.325441927803753,0.08210056480967211,,85.65432939512814,True
