scenario,dy,design,learner,n,reps,n_defined,n_undefined,alpha_inf,V_inf,mbar_inf,mean_alpha_hat,mean_alpha_n,mean_alpha_pop,coverage_alpha_n,coverage_alpha_n_V,coverage_alpha_inf,coverage_alpha_inf_V,coverage_alpha_pop,mean_se_plugin,se_V,sd_alpha_hat,sd_alpha_hat_minus_alpha_n,sd_alpha_hat_minus_alpha_inf,se_over_sd,sd_sqrtn_over_sqrtV,mean_sqrtn_centring_bias,sd_sqrtn_centring_bias,mean_sqrtn_centring_bias_rel,mean_rel_centring_bias,mean_gap_pop_minus_n_over_se,mean_gap_inf_minus_n_over_se,mean_alpha_hat_over_alpha_inf,frac_fallback_cells,misses_below_n,misses_above_n
S-A,7,random,log,600,2000,2000,0,11.876473216129071,23390.955606009727,110.2303824070258,11.677588100595413,5.637841126388868,9.136659529902815,0.8125,0.929,0.27,0.9495,0.6395,6.4953889380550205,6.243790996663503,66.50267930244421,66.18099356402956,66.50267930244421,0.09814583596075489,10.599488932187949,7762.020523919294,8354.770833435228,70.41634397364263,2.8747352047954946,2.3473610506966875,5.867208206667776,0.9832538572761181,0.009371666666666665,356,19
S-A,7,random,raw,600,2000,2000,0,1.0,101.61900709440488,1309.148184260707,1.2626551392668552,1.4036021645796515,1.3304359879496355,0.829,0.8045,0.9985,0.9305,0.84,0.4946748295653427,0.4115398058803159,0.45848991489349494,0.7360278117480294,0.45848991489349494,0.6720871435421911,1.7884729526311753,-4806.922941961438,12472.048063543669,-3.671794377254527,-0.1499003777448985,-0.12357753901718889,-1.0257997580820921,1.2626551392668552,0.009371666666666665,333,9
S-A,7,random,log,3000,2000,2000,0,11.876473216129071,23390.955606009727,110.2303824070258,7.613401715638237,7.539530398932633,8.902446304741607,0.8935,0.9445,0.368,0.5355,0.713,2.1206222464988724,2.7923082211681507,3.7827785239001965,2.961571196537775,3.782778523900196,0.7160463503217434,1.060617583004076,5299.9422747676135,5414.2815093430445,48.08059410696384,0.8778275323544683,0.7930606665294537,3.2064156616815715,0.6410490367880182,0.0017223333333333333,172,41
S-A,7,random,raw,3000,2000,2000,0,1.0,101.61900709440488,1309.148184260707,1.0276603301934393,1.065528501021464,1.0550209912158928,0.891,0.9165,1.0,0.999,0.886,0.1801696859503889,0.18404619627909083,0.06335787692955215,0.20617667434147696,0.06335787692955215,0.8738606659839009,1.1202441479900356,-1906.1263762743133,13802.96599733458,-1.4560050567161174,-0.02658289378016688,-0.05621294727170279,-0.4937721310404265,1.0276603301934393,0.0017223333333333333,209,9
S-A,7,random,log,15000,2000,2000,0,11.876473216129071,23390.955606009727,110.2303824070258,10.194375295031415,10.178518064097462,10.761298449500641,0.9385,0.943,0.562,0.5975,0.8665,1.1908284319489193,1.2487581993327004,1.9310921407442834,1.2635097555114545,1.9310921407442834,0.9424766423484284,1.0118129804365943,2831.5241302780582,3154.3718717442352,25.68732928660859,0.20973616535680553,0.4971677181277836,1.7919701372460877,0.858367219755672,0.0002819,94,29
S-A,7,random,raw,15000,2000,2000,0,1.0,101.61900709440488,1309.148184260707,1.0032983314627244,1.0096666795748972,1.0087903360986576,0.9225,0.933,1.0,1.0,0.922,0.08086357503491866,0.08230796117606319,0.01333871557408419,0.08573018506346965,0.01333871557408419,0.943233412771149,1.041578285241279,-380.75133242858226,13737.395871444256,-0.2908389875234769,-0.0023746903891340054,-0.010687019849019219,-0.2006066226570444,1.0032983314627244,0.0002819,134,21
S-A,8,random,log,600,2000,2000,0,20.616273946142062,115656.92450599483,54.85037499974129,25.363464824973935,6.953839942325489,13.651494612339226,0.8065,0.9335,0.2135,0.947,0.6055,15.345855781879619,13.883859004013427,207.8418821539147,207.47070156242856,207.8418821539147,0.07396637533064881,14.94330225497498,7320.197399002773,7331.890434173963,133.45756339928946,5.448382210723252,3.6348931256221286,10.17827358621473,1.230264251010315,0.009121666666666667,368,19
S-A,8,random,raw,600,2000,2000,0,1.0,131.32862494687728,1130.8103570432884,1.3715792708242232,1.5212416801404693,1.4226650491666715,0.824,0.7765,0.9985,0.8915,0.841,0.6348005272722584,0.46784724171264364,0.7212636987069047,1.0031468115573763,0.7212636987069047,0.6328091959807323,2.144175966251648,-4812.097626885189,11886.13249291736,-4.255441769623779,-0.17372768276174236,-0.12175727034946153,-1.0504952956404696,1.3715792708242232,0.009121666666666667,348,4
S-A,8,random,log,3000,2000,2000,0,20.616273946142062,115656.92450599483,54.85037499974129,11.068423815962388,10.266090151576398,13.189921489835788,0.8995,0.953,0.2785,0.51,0.676,3.8081591674962203,6.209050504599309,8.272206535901441,6.173525613692405,8.272206535901441,0.6168532222576377,0.9942785308509587,4709.010658897658,3908.499150677524,85.85193189508492,1.5674346568111748,1.0889838245005439,4.682258782847704,0.5368779947762399,0.0018490000000000002,155,46
S-A,8,random,raw,3000,2000,2000,0,1.0,131.32862494687728,1130.8103570432884,1.0337263092830713,1.0777458443320729,1.0649865578596676,0.9045,0.927,1.0,0.999,0.907,0.2055600434819775,0.20922764711104927,0.06977222302739532,0.22602053623580953,0.06977222302739532,0.9094750720682948,1.08026132949747,-1957.8419994644723,12696.852276027574,-1.731361927550443,-0.03161019943083342,-0.059466829521625526,-0.47842227638303747,1.0337263092830713,0.0018490000000000002,183,8
