scenario,dy,weighting,predictor,n,reps,n_folds,w_realised,w_nominal,alpha_w,alpha_w_nominal,alpha_P,alpha_equal_weight,V_w,mean_alpha_hat,sd_alpha_hat,coverage_alpha_w,coverage_alpha_w_Vw,coverage_alpha_P,coverage_alpha_equal,mean_se_plugin,se_Vw,se_over_sd,sd_sqrtn_over_sqrtVw
S-A,4,data,f2,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,3.797344720135092,3.797344720135092,3.797344720135092,3.797344720135092,700.4556829606786,3.787734420072305,0.21877317988220368,0.9345,0.9525,0.9345,0.9345,0.21118668351189365,0.21609499191492593,0.9653225483379868,1.0123935679561336
S-A,4,proportional,f1,600,2000,257;257;86,0.428333;0.428333;0.143333,0.428571;0.428571;0.142857,0.9196986540225316,0.9196986540225316,0.9196986540225316,0.9196986540225316,38.07299809925165,0.9127787993944706,0.24473082427313,0.8715,0.959,0.8715,0.8715,0.21404476147751206,0.25190275272828216,0.8746130043620047,0.971528979427675
S-A,4,proportional,f2,600,2000,257;257;86,0.428333;0.428333;0.143333,0.428571;0.428571;0.142857,3.797344720135092,3.797344720135092,3.797344720135092,3.797344720135092,700.4556829606786,3.864779645868418,1.1173216443694147,0.899,0.9555,0.899,0.899,0.9850230891119279,1.0804749595746297,0.8815931330748072,1.034102303314175
S-A,4,proportional,f1,3000,2000,1286;1286;428,0.428667;0.428667;0.142667,0.428571;0.428571;0.142857,0.9196986540225316,0.9196986540225316,0.9196986540225316,0.9196986540225316,38.07299809925164,0.915699764894431,0.108551966346991,0.9265,0.96,0.9265,0.9265,0.1052889453065807,0.11265433576395191,0.969940470447307,0.9635844515957495
S-A,4,proportional,f2,3000,2000,1286;1286;428,0.428667;0.428667;0.142667,0.428571;0.428571;0.142857,3.797344720135092,3.797344720135092,3.797344720135092,3.797344720135092,700.4556829606785,3.816365224328273,0.4785644241045847,0.9295,0.9535,0.9295,0.9295,0.4620734710537516,0.48320309151904184,0.9655407877806872,0.9904001702475153
S-A,4,proportional,f1,15000,2000,6429;6429;2142,0.428600;0.428600;0.142800,0.428571;0.428571;0.142857,0.9196986540225316,0.9196986540225316,0.9196986540225316,0.9196986540225316,38.07299809925165,0.9192219887488947,0.05120157305524388,0.931,0.952,0.931,0.931,0.0494069195604739,0.05038055054565644,0.9649492508202113,1.0162964179766834
S-A,4,proportional,f2,15000,2000,6429;6429;2142,0.428600;0.428600;0.142800,0.428571;0.428571;0.142857,3.797344720135092,3.797344720135092,3.797344720135092,3.797344720135092,700.4556829606786,3.7974129937191554,0.2204937435787113,0.9425,0.95,0.9425,0.9425,0.21271326001622554,0.21609499191492593,0.9647133590450003,1.0203556390863382
S-B,1,data,f1,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,1.5193450871625052,1.5193413368102322,1.517898842339595,1.5188354669159776,19.95817608720795,1.5187513019746761,0.18638034464055026,0.897,0.953,0.8985,0.897,0.16700376704020267,0.1823831867580267,0.8960374408700826,1.0219162629712502
S-B,1,data,f2,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,5.12977519734779,5.129822545767042,5.148116652994177,5.136219351780203,263.45502010638364,5.1303662912687304,0.6811648260988882,0.9125,0.9515,0.9095,0.9115,0.6179596113136936,0.6626399476165816,0.9072101019261691,1.0279561752184394
S-B,1,data,f1,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,1.5193443828740862,1.5193413368102322,1.517898842339595,1.5188354669159776,19.958153362761735,1.519428354417154,0.08170548528280887,0.935,0.952,0.9365,0.935,0.07878263801553066,0.08156419427412524,0.9642270374239711,1.0017322675708507
